"chapter","textscript-section-0x5059","Mami (shitennou 3) race",,"//==================================
// Mami (shitennou 3) race
//==================================",,,,,,
,,,,"//=====
// String start: maintext-0x5059
//=====",,,,,,
"string","maintext-0x5059_1",,,"やっほー　げんき？","Yoo-hoo! How's it hanging?",,"=IF(F1349=I1349, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x5059"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x5066
//=====",,,,,,
"string","maintext-0x5066_1",,,"おまえの　せいでなあ・・・","This is all [b]your[std] fault...",,"=""DUPE: ""&ADDRESS(ROW(F1338), COLUMN(F1338), 4)",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""contentIsDupeOf"":""maintext-0x5004_1"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x5066"",""type"":""small""}],""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x5076
//=====",,,,,,
"string","maintext-0x5076_1",,,"すんだことは　いいっこなし\n
それより　あたしのクルマ　みて","Oh, forget the past.\n
C'mere, check out my car!",,"=IF(F1353=I1353, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x5076"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x5099
//=====",,,,,,
"string","maintext-0x5099_1",,,"へえ　ヨタハチかあ・・・","Ooh, a Yota-Hachi...",,"=IF(F1355=I1355, ""UNTRANSLATED"", """")",,"as mentioned in the ""Car Names"" section, this is a nickname for the Toyota Sports 800 — Supper (2025-04-17 13:10:04)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x5099"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x50A9
//=====",,,,,,
"string","maintext-0x50A9_1",,,"しんぴん　みたいに　ピカピカでしょ\n
パワーは　100PSも　あるのよ\n
おもさは　750[kg's/_1][kg's/_2]　すごいでしょ","Still got that brand-new sheen, yeah? It has 100 PS of power and weighs 750 kg. Awesome, right?",,"=IF(F1357=I1357, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x50A9"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x50A9_3",,,"さすがに　はやさでは　さいきんのクルマに\n
かてないけど・・・\n
でも　あたしは　これが　いちばんスキなの","Of course, it's not fast enough to win against new cars...But this is my favorite.",,"=IF(F1358=I1358, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x512A
//=====",,,,,,
"string","maintext-0x512A_1",,,"よく　このクルマで　3位に　なれたねえ","You sure did well to make it to [#]3 with [i]this[std] car.",,"=IF(F1360=I1360, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x512A"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x5142
//=====",,,,,,
"string","maintext-0x5142_1",,,"それには　わけがあるのよ\n
あたしは　おんなだし　クルマだって\n
あんまり　はやくないでしょう","There's a reason for that.\n
After all, I'm a woman, and my car's not all that fast, right?",,"=IF(F1362=I1362, ""UNTRANSLATED"", """")",,"note that she's specifically implying here that being a woman is a handicap that makes her an inherently worse racer. THIS GAME WAS WRITTEN BY A MAN, IN CASE YOU HADN'T FIGURED IT OUT YET. — Supper (2025-04-17 13:17:06)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x5142"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x5142_3",,,"だから　いつも　たいせんあいてから\n
ハンデを　もらってるのよ","So, I always get a handicap from my opponents.",,"=IF(F1363=I1363, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x5142_5",,,"あたしより　すこし　スタートを\n
おくらせて　くれればいいのよ","You just need to delay your start until a little after mine.",,"=IF(F1364=I1364, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x5142_7",,,"そのかわり　ごほうびを　あげるわ","I'll give you a reward to make up for it.",,"=IF(F1365=I1365, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x5142_9",,,"0.5びょう　おくらせてくれれば　キス\n
1びょうなら　パフパフ\n
2びょうなら　[call19]<$B9><$D5>　よ\n","For a 0.5-second delay, a kiss.\n
For 1 second, a [i]puff-puff[std].\n
For 2 seconds, [call19]<$B9><$D5>.",,"=IF(F1366=I1366, ""UNTRANSLATED"", """")",,"パフパフ is probably another Dragon Quest reference: [url]https://wikiwiki.jp/dqdic3rd/%E3%80%90%E3%81%B1%E3%81%B5%E3%81%B1%E3%81%B5%E3%80%91[/url] (you don't actually get anything for a delay of less than 2 seconds) — Supper (2025-04-17 13:21:09)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x5142_11",,,"でも　あたしに　まけたらなし","But if you lose, you get nothing.",,"=IF(F1367=I1367, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x521E
//=====",,,,,,
"string","maintext-0x521E_1",,,"じゃあ　よろしくね♥","Well, let's have a good time! ♥",,"=IF(F1369=I1369, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x521E"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x522C
//=====",,,,,,
"string","maintext-0x522C_1",,,"あたしのかちね　　ごほうびは　なしよ","Well, I win. No reward for you!",,"=IF(F1371=I1371, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x522C"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x5243
//=====",,,,,,
"string","maintext-0x5243_1",,,"はえーじゃねーかよ！　さては　だましたな","The hell? That thing was super fast! You tricked me!",,"=IF(F1373=I1373, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x5243"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x525B
//=====",,,,,,
"string","maintext-0x525B_1",,,"だまされる　ほうが　わるいのよ\n
あたしのヨタハチは　ミッドに240PSの\n
ロータリーエンジンを　つんでるのよ","It's your fault for [i]being[std] tricked. I've equipped my Yota-Hachi with a mid-ship 240 PS rotor engine.",,"=IF(F1375=I1375, ""UNTRANSLATED"", """")",,"CHECK, don't understand the use of ミッド here. Best I can come up with is that this is abbreviating ミッドシップ, which seems to be a Japanese term for a mid-engine design (engine is located between the front and rear axles wheels). That seems like a hell of a remodel for an FR car, though? Not that I know a damn thing about cars... — Supper (2025-04-17 13:37:46)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x525B"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x525B_3",,,"おもさは　660[kg's/_1][kg's/_2]パワーウエイトレシオは2.75[kg's/_1][kg's/_2]/ps\n
あんたのなんかに　まけないわよ　じゃあね♥","It's got a weight of 660 kg and a power-weight ratio of 2.75 kg/ps.[wait][clear]

Don't think that [i]your[std] car's going to outclass her. Toodles! ♥",,"=IF(F1376=I1376, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x52DB
//=====",,,,,,
"string","maintext-0x52DB_1",,,"ちくしょう！","Dammit!",,"=IF(F1378=I1378, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x52DB"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x52E3
//=====",,,,,,
"string","maintext-0x52E3_1",,,"きょうこそは　まけねーからな！","This time, I'm not losing!",,"=IF(F1380=I1380, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x52E3"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x52F4
//=====",,,,,,
"string","maintext-0x52F4_1",,,"あたしの　かちに　きまってるわよ","The winner here is [i]obviously[std] going to be me.",,"=IF(F1382=I1382, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x52F4"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x5307
//=====",,,,,,
"string","maintext-0x5307_1",,,"くそー　また　ちょうせんして\n
このつぎこそ　ぜったい　かってやる！","Damn it! I'm trying again, and next time, I [b]will[std] win!",,"=IF(F1384=I1384, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x5307"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x532C
//=====",,,,,,
"string","maintext-0x532C_1",,,"やっぱり　わたしの　かちね\n
もう　あきらめたら？","Well, I won after all.\n
Ready to call it quits?",,"=IF(F1386=I1386, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x532C"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x5348
//=====",,,,,,
"string","maintext-0x5348_1",,,"おめでとう\pくん\n
このあいだは　ごめんなさい\n
かのじょ　ほんとに　四天王だったのね","Congratulations, \p.\n
I'm sorry about earlier. So she really was one of the Big Four?",,"=IF(F1388=I1388, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x5348"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x537B
//=====",,,,,,
"string","maintext-0x537B_1",,,"わかってくれれば　いいんだよ","Glad we've got that cleared up.",,"=IF(F1390=I1390, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x537B"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x538D
//=====",,,,,,
"string","maintext-0x538D_1",,,"あたしのまけよ\n
ごほうび　あげなくっちゃね♥","I lose.\n
No reward for you, huh? ♥",,"=IF(F1392=I1392, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x538D"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x53A9
//=====",,,,,,
"string","maintext-0x53A9_1",,,"ごほうびって？","{Reward}?",,"=IF(F1394=I1394, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x53A9"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x53B5
//=====",,,,,,
"string","maintext-0x53B5_1",,,"な　なんでもないよ　さあ　かえろ　かえろ！","N-nothing to worry about.\n
C'mon, let's get going!",,"=IF(F1396=I1396, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x5059"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x53B5"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"chapter","textscript-section-0x53CD","Time limit cutscene 1",,"//==================================
// Time limit cutscene 1
//==================================",,,,,,
,,,,"//=====
// String start: maintext-0x53CD
//=====",,,,,,
"string","maintext-0x53CD_1",,,"\pさーん　でんぽうでーす","Telegram for \p!",,"=IF(F1399=I1399, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x53CD"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x53E1
//=====",,,,,,
"string","maintext-0x53E1_1",,,"あっ　おふくろからだ　なんだろう？","Oh, it's from Mom. What's this about?",,"=IF(F1401=I1401, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x53E1"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x53F7
//=====",,,,,,
"string","maintext-0x53F7_1",,,"とうちゃん　たおれる\n
しきゅう　でんわされたし\n
　　　　　　　　　　ははより","Got an emergency call.\n
Dad's bedridden.\n
　　　　　　　　　　Mom",,"=IF(F1403=I1403, ""UNTRANSLATED"", """")",,"I'm a bit confused by 倒れる being in the present tense here. In the sense of ""your dad will be confined to bed"" as opposed to ""had a breakdown"", I guess? — Supper (2025-04-21 09:23:32)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x53F7"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x5420
//=====",,,,,,
"string","maintext-0x5420_1",,,"た　たいへんだ！","O-oh my God!",,"=IF(F1405=I1405, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x5420"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x542C
//=====",,,,,,
"string","maintext-0x542C_1",,,"ピッポッパ[delay]<$A0>","[i]beep boop beep[std][delay]<$A0>[delay]<$A0>",,"=IF(F1407=I1407, ""UNTRANSLATED"", """")",,"doubled delay","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x542C"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x542C_3",,,"[call19]<$90><$6C>","[call19]<$90><$6C>",,"=IF(F1408=I1408, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x543D
//=====",,,,,,
"string","maintext-0x543D_1",,,"ガチャッ","[i]ka-chunk[std]",,"=""DUPE: ""&ADDRESS(ROW(F1298), COLUMN(F1298), 4)",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""contentIsDupeOf"":""maintext-0x4DE5_1"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x543D"",""type"":""small""}],""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x5445
//=====",,,,,,
"string","maintext-0x5445_1",,,"はい　みつわやしょくどう　です","Hello, this is the Mitsuwaya Restaurant.",,"=IF(F1412=I1412, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x5445"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x5459
//=====",,,,,,
"string","maintext-0x5459_1",,,"あっ　おふくろ？　オレ\n
おやじの　ぐあい　どう？","Oh, Mom? It's me. How's Dad?",,"=IF(F1414=I1414, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x5459"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x5479
//=====",,,,,,
"string","maintext-0x5479_1",,,"\pかい？\n
おいしゃさまは　たいしたことないって\n
いうんだけど・・・","\p?\n
The doctor says that it's nothing major, but...",,"=IF(F1416=I1416, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x5479"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x5479_3",,,"あんまり　からだの　じょうぶな　人じゃ\n
ないからねえ・・・","Well, he's never been the picture of health, you know...",,"=IF(F1417=I1417, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x54C4
//=====",,,,,,
"string","maintext-0x54C4_1",,,"じゃあ　みせは　どうしてるの？","Then how are you handling the restaurant?",,"=IF(F1419=I1419, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x54C4"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x54D8
//=====",,,,,,
"string","maintext-0x54D8_1",,,"それなら　だいじょうぶ\n
おまえと　おさななじみの　じゅんこちゃんがみせを　てつだって　くれてるんだよ","Oh, that's fine. Your old friend Junko is helping me run things.",,"=IF(F1421=I1421, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x54D8"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0x54D8_3",,,"あのコ　とっても　きれいに　なってねえ\n
はやく　おまえと　けっこんして\n
みせを　ついでくれると　いいんだけど・・・","She's gotten so pretty, you know.\n
I wish she'd hurry up and marry you and take over the restaurant...",,"=IF(F1422=I1422, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x5555
//=====",,,,,,
"string","maintext-0x5555_1",,,"そんな・・・\n
けっこんなんて　まだはやいよ・・・","I...\n
No, it's still too soon to be getting married...",,"=IF(F1424=I1424, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x53CD"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x5555"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x5571
//=====",,,,,,
